TimeGenerated,DeviceName,DeviceId,ActionType,FileName,FolderPath,SHA256,SHA1,MD5,FileSize,FileOriginUrl,FileOriginIP,PreviousFileName,PreviousFolderPath,InitiatingProcessFileName,InitiatingProcessCommandLine,InitiatingProcessAccountName,InitiatingProcessFolderPath,ReportId
2026-06-10T09:01:15Z,FIN-WS-07.contoso.com,d1d1d1d1-aaaa-bbbb-cccc-000000000007,FileCreated,mimi_x64.exe,C:\Users\alexw\AppData\Local\Temp\,d4f6b8a0c2e4f6b8a0c2e4f6b8a0c2e4f6b8a0c2e4f6b8a0c2e4f6b8a0c2e4f6,9c7e5b3d1f9a7c5e3b1d9f7a5c3e1b9d7f5a3c1e,1d9f7a5c3e1b9d7f5a3c1e9b7d5f3a1c,1263104,,,,,SecurityUpdate_KB5039211.exe,"""C:\Users\alexw\AppData\Local\Temp\SecurityUpdate_KB5039211.exe"" /S",alexw,C:\Users\alexw\AppData\Local\Temp\,100211
2026-06-10T09:02:38Z,FIN-WS-07.contoso.com,d1d1d1d1-aaaa-bbbb-cccc-000000000007,FileRenamed,svchost_helper.exe,C:\Users\alexw\AppData\Roaming\WinUpdate\,d4f6b8a0c2e4f6b8a0c2e4f6b8a0c2e4f6b8a0c2e4f6b8a0c2e4f6b8a0c2e4f6,9c7e5b3d1f9a7c5e3b1d9f7a5c3e1b9d7f5a3c1e,1d9f7a5c3e1b9d7f5a3c1e9b7d5f3a1c,1263104,,,mimi_x64.exe,C:\Users\alexw\AppData\Local\Temp\,cmd.exe,"""C:\Windows\System32\cmd.exe"" /c move %TEMP%\mimi_x64.exe %APPDATA%\WinUpdate\svchost_helper.exe",alexw,C:\Windows\System32\,100212
2026-06-10T09:04:09Z,FIN-WS-07.contoso.com,d1d1d1d1-aaaa-bbbb-cccc-000000000007,FileCreated,lsass.dmp,C:\Users\alexw\AppData\Local\Temp\,e5f7a9c1d3e5f7a9c1d3e5f7a9c1d3e5f7a9c1d3e5f7a9c1d3e5f7a9c1d3e5f7,1f9a7c5e3b1d9f7a5c3e1b9d7f5a3c1e9b7d5f3a,3e1b9d7f5a3c1e9b7d5f3a1c9e7b5d3f,45088768,,,,,svchost_helper.exe,"""C:\Users\alexw\AppData\Roaming\WinUpdate\svchost_helper.exe"" sekurlsa::minidump",alexw,C:\Users\alexw\AppData\Roaming\WinUpdate\,100213
2026-06-10T09:06:52Z,FIN-WS-07.contoso.com,d1d1d1d1-aaaa-bbbb-cccc-000000000007,FileCreated,creds.txt,C:\Users\alexw\AppData\Local\Temp\,f6a8c0d2e4f6a8c0d2e4f6a8c0d2e4f6a8c0d2e4f6a8c0d2e4f6a8c0d2e4f6a8,2a0c8d6e4f2a0c8d6e4f2a0c8d6e4f2a0c8d6e4f,4f2a0c8d6e4f2a0c8d6e4f2a0c8d6e4f,8214,,,,,svchost_helper.exe,"""C:\Users\alexw\AppData\Roaming\WinUpdate\svchost_helper.exe"" sekurlsa::logonpasswords",alexw,C:\Users\alexw\AppData\Roaming\WinUpdate\,100214
2026-06-10T09:09:31Z,FIN-WS-07.contoso.com,d1d1d1d1-aaaa-bbbb-cccc-000000000007,FileModified,Budget-2026.xlsx,C:\Users\alexw\Documents\Finance\,,,,256512,,,,,EXCEL.EXE,"""C:\Program Files\Microsoft Office\root\Office16\EXCEL.EXE""",alexw,C:\Program Files\Microsoft Office\root\Office16\,100215
2026-06-10T09:11:48Z,HR-WS-03.contoso.com,c3c3c3c3-aaaa-bbbb-cccc-000000000003,FileModified,Onboarding-Checklist.docx,C:\Users\meganb\Documents\,,,,74880,,,,,WINWORD.EXE,"""C:\Program Files\Microsoft Office\root\Office16\WINWORD.EXE""",meganb,C:\Program Files\Microsoft Office\root\Office16\,100216
2026-06-10T09:13:22Z,FIN-WS-07.contoso.com,d1d1d1d1-aaaa-bbbb-cccc-000000000007,FileCreated,staging,C:\Users\alexw\AppData\Local\Temp\staging\,,,,0,,,,,cmd.exe,"""C:\Windows\System32\cmd.exe"" /c mkdir %TEMP%\staging",alexw,C:\Windows\System32\,100217
2026-06-10T09:15:07Z,FIN-WS-07.contoso.com,d1d1d1d1-aaaa-bbbb-cccc-000000000007,FileCreated,Q2-Forecast.xlsx,C:\Users\alexw\AppData\Local\Temp\staging\,,,,191044,,,,,cmd.exe,"""C:\Windows\System32\cmd.exe"" /c copy C:\Users\alexw\Documents\Finance\*.xlsx %TEMP%\staging\",alexw,C:\Windows\System32\,100218
2026-06-10T09:15:09Z,FIN-WS-07.contoso.com,d1d1d1d1-aaaa-bbbb-cccc-000000000007,FileCreated,Budget-2026.xlsx,C:\Users\alexw\AppData\Local\Temp\staging\,,,,256512,,,,,cmd.exe,"""C:\Windows\System32\cmd.exe"" /c copy C:\Users\alexw\Documents\Finance\*.xlsx %TEMP%\staging\",alexw,C:\Windows\System32\,100219
2026-06-10T09:15:11Z,FIN-WS-07.contoso.com,d1d1d1d1-aaaa-bbbb-cccc-000000000007,FileCreated,Payroll-Master.xlsx,C:\Users\alexw\AppData\Local\Temp\staging\,,,,402944,,,,,cmd.exe,"""C:\Windows\System32\cmd.exe"" /c copy C:\Users\alexw\Documents\Finance\*.xlsx %TEMP%\staging\",alexw,C:\Windows\System32\,100220
2026-06-10T09:16:55Z,FIN-WS-07.contoso.com,d1d1d1d1-aaaa-bbbb-cccc-000000000007,FileCreated,Vendor-Bank-Details.docx,C:\Users\alexw\AppData\Local\Temp\staging\,,,,128000,,,,,cmd.exe,"""C:\Windows\System32\cmd.exe"" /c copy C:\Users\alexw\Documents\Finance\*.docx %TEMP%\staging\",alexw,C:\Windows\System32\,100221
2026-06-10T09:18:40Z,FIN-WS-07.contoso.com,d1d1d1d1-aaaa-bbbb-cccc-000000000007,FileCreated,finance_archive_0610.zip,C:\Users\alexw\AppData\Local\Temp\,a7b9d1f3e5c7a9b1d3f5e7c9a1b3d5f7e9c1a3b5d7f9e1c3a5b7d9f1e3c5a7b9,3c5a7b9d1f3e5c7a9b1d3f5e7c9a1b3d5f7e9c1a,5f7e9c1a3b5d7f9e1c3a5b7d9f1e3c5a,1198080,,,,,7z.exe,"""C:\Program Files\7-Zip\7z.exe"" a -tzip -pInf!ltr8 C:\Users\alexw\AppData\Local\Temp\finance_archive_0610.zip C:\Users\alexw\AppData\Local\Temp\staging\*",alexw,C:\Program Files\7-Zip\,100222
2026-06-10T09:21:14Z,FIN-WS-07.contoso.com,d1d1d1d1-aaaa-bbbb-cccc-000000000007,FileModified,finance_archive_0610.zip,C:\Users\alexw\AppData\Local\Temp\,a7b9d1f3e5c7a9b1d3f5e7c9a1b3d5f7e9c1a3b5d7f9e1c3a5b7d9f1e3c5a7b9,3c5a7b9d1f3e5c7a9b1d3f5e7c9a1b3d5f7e9c1a,5f7e9c1a3b5d7f9e1c3a5b7d9f1e3c5a,1976832,,,,,7z.exe,"""C:\Program Files\7-Zip\7z.exe"" a -tzip -pInf!ltr8 C:\Users\alexw\AppData\Local\Temp\finance_archive_0610.zip C:\Users\alexw\AppData\Local\Temp\staging\*",alexw,C:\Program Files\7-Zip\,100223
2026-06-10T09:24:36Z,FIN-WS-07.contoso.com,d1d1d1d1-aaaa-bbbb-cccc-000000000007,FileRenamed,update_0610.dat,C:\Users\alexw\AppData\Roaming\WinUpdate\,a7b9d1f3e5c7a9b1d3f5e7c9a1b3d5f7e9c1a3b5d7f9e1c3a5b7d9f1e3c5a7b9,3c5a7b9d1f3e5c7a9b1d3f5e7c9a1b3d5f7e9c1a,5f7e9c1a3b5d7f9e1c3a5b7d9f1e3c5a,1976832,,,finance_archive_0610.zip,C:\Users\alexw\AppData\Local\Temp\,cmd.exe,"""C:\Windows\System32\cmd.exe"" /c move %TEMP%\finance_archive_0610.zip %APPDATA%\WinUpdate\update_0610.dat",alexw,C:\Windows\System32\,100224
2026-06-10T09:27:58Z,FIN-WS-07.contoso.com,d1d1d1d1-aaaa-bbbb-cccc-000000000007,FileDeleted,staging,C:\Users\alexw\AppData\Local\Temp\staging\,,,,0,,,,,cmd.exe,"""C:\Windows\System32\cmd.exe"" /c rmdir /s /q %TEMP%\staging",alexw,C:\Windows\System32\,100225
2026-06-10T09:29:33Z,DC01.contoso.com,b2b2b2b2-aaaa-bbbb-cccc-000000000001,FileModified,ntds.dit,C:\Windows\NTDS\,,,,16809984,,,,,lsass.exe,C:\Windows\system32\lsass.exe,SYSTEM,C:\Windows\System32\,100226
