TimeGenerated,ActivityDateTime,OperationName,ActivityDisplayName,Category,AADOperationType,Result,ResultReason,LoggedByService,InitiatedBy,TargetResources,AdditionalDetails,CorrelationId,Id,AADTenantId
2026-06-10T09:43:51Z,2026-06-10T09:43:50Z,Consent to application,Consent to application,ApplicationManagement,Add,success,,Core Directory,"{""user"":{""id"":""6c3d4a55-3333-4c4c-9d9d-aa0000000203"",""displayName"":""Alex Wilber"",""userPrincipalName"":""alexw@contoso.com"",""ipAddress"":""185.220.101.2""}}","[{""id"":""c1c2c3c4-7a7a-4b7b-8c7c-000000000707"",""displayName"":""Contoso Finance Sync"",""type"":""ServicePrincipal"",""modifiedProperties"":[{""displayName"":""ConsentAction.Permissions"",""oldValue"":null,""newValue"":""[\""Mail.Read User.Read Files.ReadWrite.All\""]""},{""displayName"":""ConsentType"",""oldValue"":null,""newValue"":""[\""AllPrincipals\""]""}]}]","[{""key"":""ConsentContext"",""value"":""Admin consent""}]",11aa22bb-000c-4c4c-8d8d-000000000010,a100000b-0000-400b-800b-00000000000b,a1b2c3d4-1111-2222-3333-444455556666
2026-06-10T09:45:09Z,2026-06-10T09:45:08Z,Add service principal credentials,Add service principal credentials,ApplicationManagement,Update,success,,Core Directory,"{""user"":{""id"":""6c3d4a55-3333-4c4c-9d9d-aa0000000203"",""displayName"":""Alex Wilber"",""userPrincipalName"":""alexw@contoso.com"",""ipAddress"":""185.220.101.2""}}","[{""id"":""c1c2c3c4-7a7a-4b7b-8c7c-000000000707"",""displayName"":""Contoso Finance Sync"",""type"":""ServicePrincipal"",""modifiedProperties"":[{""displayName"":""KeyDescription"",""oldValue"":""[]"",""newValue"":""[\""[KeyType=Password, KeyUsage=Verify, DisplayName=rt-sync-key]\""]""},{""displayName"":""KeyValidityEnd"",""oldValue"":null,""newValue"":""[\""2028-06-09T00:00:00Z\""]""}]}]","[{""key"":""CredentialType"",""value"":""ClientSecret""}]",11aa22bb-000c-4c4c-8d8d-000000000011,a100000c-0000-400c-800c-00000000000c,a1b2c3d4-1111-2222-3333-444455556666
2026-06-10T09:46:22Z,2026-06-10T09:46:21Z,Update user,Update user,UserManagement,Update,success,,Core Directory,"{""user"":{""id"":""6c3d4a55-3333-4c4c-9d9d-aa0000000203"",""displayName"":""Alex Wilber"",""userPrincipalName"":""alexw@contoso.com"",""ipAddress"":""185.220.101.2""}}","[{""id"":""2a7c8d99-7777-4a5a-8b8b-aa0000000207"",""displayName"":""Backup Service Account"",""type"":""User"",""userPrincipalName"":""svc-backup@contoso.com"",""modifiedProperties"":[{""displayName"":""StrongAuthenticationMethod"",""oldValue"":""[]"",""newValue"":""[\""[PhoneNumber=+31 6 12345678, MethodType=OneWaySMS]\""]""}]}]","[{""key"":""ActorContext"",""value"":""User""}]",11aa22bb-000c-4c4c-8d8d-000000000012,a100000d-0000-400d-800d-00000000000d,a1b2c3d4-1111-2222-3333-444455556666
2026-06-10T09:52:40Z,2026-06-10T09:52:39Z,Add member to group,Add member to group,GroupManagement,Add,success,,Core Directory,"{""user"":{""id"":""4a5f6a77-5555-4e4e-9f9f-aa0000000205"",""displayName"":""IT Administrator"",""userPrincipalName"":""itadmin@contoso.com"",""ipAddress"":""52.170.12.45""}}","[{""id"":""8a2b3c4d-bbbb-4002-8002-000000000402"",""displayName"":""Finance-ReadOnly"",""type"":""Group"",""modifiedProperties"":[{""displayName"":""Group.Member"",""oldValue"":null,""newValue"":""[\""contractor3@contoso.com\""]""}]}]","[{""key"":""GroupType"",""value"":""Security""}]",b7c1d2e3-1107-4a10-9c07-aa0000000107,a100000e-0000-400e-800e-00000000000e,a1b2c3d4-1111-2222-3333-444455556666
2026-06-10T09:58:13Z,2026-06-10T09:58:12Z,Add member to role,Add member to role,RoleManagement,Add,failure,Authorization_RequestDenied: Insufficient privileges to complete the operation.,Core Directory,"{""user"":{""id"":""7d2c3b44-2222-4b4b-8c8c-aa0000000202"",""displayName"":""James Thompson"",""userPrincipalName"":""jamest@contoso.com"",""ipAddress"":""20.98.111.30""}}","[{""id"":""7d2c3b44-2222-4b4b-8c8c-aa0000000202"",""displayName"":""James Thompson"",""type"":""User"",""userPrincipalName"":""jamest@contoso.com"",""modifiedProperties"":[{""displayName"":""Role.DisplayName"",""oldValue"":null,""newValue"":""[\""Global Reader\""]""}]}]","[{""key"":""FailureReason"",""value"":""Insufficient privileges""}]",b7c1d2e3-1108-4a10-9c08-aa0000000108,a100000f-0000-400f-800f-00000000000f,a1b2c3d4-1111-2222-3333-444455556666
2026-06-10T10:03:29Z,2026-06-10T10:03:28Z,Update application,Update application,ApplicationManagement,Update,success,,Core Directory,"{""user"":{""id"":""3a6b7c88-6666-4f4f-8a8a-aa0000000206"",""displayName"":""Diego Vora"",""userPrincipalName"":""dvora@contoso.com"",""ipAddress"":""52.170.12.45""}}","[{""id"":""5e5f6071-eeee-4005-8005-000000000405"",""displayName"":""HR-SaaS-Connector"",""type"":""Application"",""modifiedProperties"":[{""displayName"":""RequiredResourceAccess"",""oldValue"":""[\""User.Read\""]"",""newValue"":""[\""User.Read User.ReadBasic.All\""]""}]}]","[{""key"":""ActorContext"",""value"":""User""}]",b7c1d2e3-1109-4a10-9c09-aa0000000109,a1000010-0000-4010-8010-000000000010,a1b2c3d4-1111-2222-3333-444455556666
2026-06-10T10:09:47Z,2026-06-10T10:09:46Z,Disable account,Disable account,UserManagement,Update,success,,Core Directory,"{""user"":{""id"":""4a5f6a77-5555-4e4e-9f9f-aa0000000205"",""displayName"":""IT Administrator"",""userPrincipalName"":""itadmin@contoso.com"",""ipAddress"":""52.170.12.45""}}","[{""id"":""9b1c2d3e-aaaa-4001-8001-000000000401"",""displayName"":""Contractor Three"",""type"":""User"",""userPrincipalName"":""contractor3@contoso.com"",""modifiedProperties"":[{""displayName"":""AccountEnabled"",""oldValue"":""[true]"",""newValue"":""[false]""}]}]","[{""key"":""Reason"",""value"":""Offboarding""}]",b7c1d2e3-110a-4a10-9c0a-aa000000010a,a1000011-0000-4011-8011-000000000011,a1b2c3d4-1111-2222-3333-444455556666
2026-06-10T10:16:05Z,2026-06-10T10:16:04Z,Add member to role,Add member to role,RoleManagement,Add,success,,Privileged Identity Management,"{""user"":{""id"":""4a5f6a77-5555-4e4e-9f9f-aa0000000205"",""displayName"":""IT Administrator"",""userPrincipalName"":""itadmin@contoso.com"",""ipAddress"":""52.170.12.45""}}","[{""id"":""3a6b7c88-6666-4f4f-8a8a-aa0000000206"",""displayName"":""Diego Vora"",""type"":""User"",""userPrincipalName"":""dvora@contoso.com"",""modifiedProperties"":[{""displayName"":""Role.DisplayName"",""oldValue"":null,""newValue"":""[\""Helpdesk Administrator\""]""}]}]","[{""key"":""AssignmentType"",""value"":""Eligible""}]",b7c1d2e3-110b-4a10-9c0b-aa000000010b,a1000012-0000-4012-8012-000000000012,a1b2c3d4-1111-2222-3333-444455556666
2026-06-10T10:24:18Z,2026-06-10T10:24:17Z,Reset user password,Reset user password,UserManagement,Update,success,,Self-service Password Management,"{""user"":{""id"":""8f1e2a33-1111-4a4a-9b9b-aa0000000201"",""displayName"":""Megan Bowen"",""userPrincipalName"":""meganb@contoso.com"",""ipAddress"":""52.170.12.45""}}","[{""id"":""8f1e2a33-1111-4a4a-9b9b-aa0000000201"",""displayName"":""Megan Bowen"",""type"":""User"",""userPrincipalName"":""meganb@contoso.com"",""modifiedProperties"":[]}]","[{""key"":""Method"",""value"":""Mobile phone (SMS)""}]",b7c1d2e3-110c-4a10-9c0c-aa000000010c,a1000013-0000-4013-8013-000000000013,a1b2c3d4-1111-2222-3333-444455556666
2026-06-10T10:31:42Z,2026-06-10T10:31:41Z,Add app role assignment grant to user,Add app role assignment grant to user,ApplicationManagement,Add,success,,Core Directory,"{""user"":{""id"":""6c3d4a55-3333-4c4c-9d9d-aa0000000203"",""displayName"":""Alex Wilber"",""userPrincipalName"":""alexw@contoso.com"",""ipAddress"":""91.219.236.18""}}","[{""id"":""c1c2c3c4-7a7a-4b7b-8c7c-000000000707"",""displayName"":""Contoso Finance Sync"",""type"":""ServicePrincipal"",""modifiedProperties"":[{""displayName"":""AppRole.Value"",""oldValue"":null,""newValue"":""[\""Sites.FullControl.All\""]""}]}]","[{""key"":""PrincipalDisplayName"",""value"":""alexw@contoso.com""}]",11aa22bb-0011-4c4c-8d8d-000000000020,a1000014-0000-4014-8014-000000000014,a1b2c3d4-1111-2222-3333-444455556666
2026-06-10T10:38:55Z,2026-06-10T10:38:54Z,Update policy,Update policy,Policy,Update,success,,Core Directory,"{""user"":{""id"":""4a5f6a77-5555-4e4e-9f9f-aa0000000205"",""displayName"":""IT Administrator"",""userPrincipalName"":""itadmin@contoso.com"",""ipAddress"":""52.170.12.45""}}","[{""id"":""4f4f5050-ffff-4006-8006-000000000406"",""displayName"":""CA-Require-MFA-AllUsers"",""type"":""Policy"",""modifiedProperties"":[{""displayName"":""PolicyDetail"",""oldValue"":""[\""state:enabledForReportingButNotEnforced\""]"",""newValue"":""[\""state:enabled\""]""}]}]","[{""key"":""PolicyType"",""value"":""ConditionalAccess""}]",b7c1d2e3-110d-4a10-9c0d-aa000000010d,a1000015-0000-4015-8015-000000000015,a1b2c3d4-1111-2222-3333-444455556666
2026-06-10T10:47:33Z,2026-06-10T10:47:32Z,Provision user,Provision user,UserManagement,Add,success,,Microsoft Identity Manager,"{""app"":{""displayName"":""HR-SaaS-Connector"",""appId"":""5e5f6071-eeee-4005-8005-000000000405"",""servicePrincipalId"":""a9a9a9a9-8888-4a8a-8b8b-000000000808""}}","[{""id"":""1d1e1f20-9090-4007-8007-000000000407"",""displayName"":""New Hire Four"",""type"":""User"",""userPrincipalName"":""newhire4@contoso.com"",""modifiedProperties"":[{""displayName"":""AccountEnabled"",""oldValue"":null,""newValue"":""[true]""}]}]","[{""key"":""ProvisioningSource"",""value"":""Workday""}]",b7c1d2e3-110e-4a10-9c0e-aa000000010e,a1000016-0000-4016-8016-000000000016,a1b2c3d4-1111-2222-3333-444455556666
