TimeGenerated,StartTime,EndTime,DataType,Solution,Quantity,QuantityUnit,IsBillable,Computer,ResourceUri,MeterId,SourceSystem
2026-06-10T11:00:00Z,2026-06-10T11:00:00Z,2026-06-10T12:00:00Z,SigninLogs,Security,79.4,MBytes,true,,/subscriptions/11112222-3333-4444-5555-666677778888/resourceGroups/rg-finance-prod/providers/Microsoft.OperationalInsights/workspaces/law-contoso-soc,3b2a1c0d-4444-5555-6666-bbbbbbbbbbbb,Azure
2026-06-10T07:00:00Z,2026-06-10T07:00:00Z,2026-06-10T08:00:00Z,DnsEvents,Security,156.0,MBytes,true,,/subscriptions/11112222-3333-4444-5555-666677778888/resourceGroups/rg-finance-prod/providers/Microsoft.OperationalInsights/workspaces/law-contoso-soc,7f6e5d4c-7777-8888-9999-cccccccccccc,Azure
2026-06-10T08:00:00Z,2026-06-10T08:00:00Z,2026-06-10T09:00:00Z,DnsEvents,Security,163.8,MBytes,true,,/subscriptions/11112222-3333-4444-5555-666677778888/resourceGroups/rg-finance-prod/providers/Microsoft.OperationalInsights/workspaces/law-contoso-soc,7f6e5d4c-7777-8888-9999-cccccccccccc,Azure
2026-06-10T09:00:00Z,2026-06-10T09:00:00Z,2026-06-10T10:00:00Z,DnsEvents,Security,892.5,MBytes,true,,/subscriptions/11112222-3333-4444-5555-666677778888/resourceGroups/rg-finance-prod/providers/Microsoft.OperationalInsights/workspaces/law-contoso-soc,7f6e5d4c-7777-8888-9999-cccccccccccc,Azure
2026-06-10T10:00:00Z,2026-06-10T10:00:00Z,2026-06-10T11:00:00Z,DnsEvents,Security,734.2,MBytes,true,,/subscriptions/11112222-3333-4444-5555-666677778888/resourceGroups/rg-finance-prod/providers/Microsoft.OperationalInsights/workspaces/law-contoso-soc,7f6e5d4c-7777-8888-9999-cccccccccccc,Azure
2026-06-10T11:00:00Z,2026-06-10T11:00:00Z,2026-06-10T12:00:00Z,DnsEvents,Security,201.6,MBytes,true,,/subscriptions/11112222-3333-4444-5555-666677778888/resourceGroups/rg-finance-prod/providers/Microsoft.OperationalInsights/workspaces/law-contoso-soc,7f6e5d4c-7777-8888-9999-cccccccccccc,Azure
2026-06-10T07:00:00Z,2026-06-10T07:00:00Z,2026-06-10T08:00:00Z,StorageBlobLogs,Storage,402.1,MBytes,true,,/subscriptions/11112222-3333-4444-5555-666677778888/resourceGroups/rg-finance-prod/providers/Microsoft.OperationalInsights/workspaces/law-contoso-soc,2d3c4b5a-aaaa-bbbb-cccc-dddddddddddd,Azure
2026-06-10T08:00:00Z,2026-06-10T08:00:00Z,2026-06-10T09:00:00Z,StorageBlobLogs,Storage,388.7,MBytes,true,,/subscriptions/11112222-3333-4444-5555-666677778888/resourceGroups/rg-finance-prod/providers/Microsoft.OperationalInsights/workspaces/law-contoso-soc,2d3c4b5a-aaaa-bbbb-cccc-dddddddddddd,Azure
2026-06-10T09:00:00Z,2026-06-10T09:00:00Z,2026-06-10T10:00:00Z,StorageBlobLogs,Storage,455.9,MBytes,true,,/subscriptions/11112222-3333-4444-5555-666677778888/resourceGroups/rg-finance-prod/providers/Microsoft.OperationalInsights/workspaces/law-contoso-soc,2d3c4b5a-aaaa-bbbb-cccc-dddddddddddd,Azure
2026-06-10T10:00:00Z,2026-06-10T10:00:00Z,2026-06-10T11:00:00Z,StorageBlobLogs,Storage,5821.4,MBytes,true,,/subscriptions/11112222-3333-4444-5555-666677778888/resourceGroups/rg-finance-prod/providers/Microsoft.OperationalInsights/workspaces/law-contoso-soc,2d3c4b5a-aaaa-bbbb-cccc-dddddddddddd,Azure
2026-06-10T11:00:00Z,2026-06-10T11:00:00Z,2026-06-10T12:00:00Z,StorageBlobLogs,Storage,1247.0,MBytes,true,,/subscriptions/11112222-3333-4444-5555-666677778888/resourceGroups/rg-finance-prod/providers/Microsoft.OperationalInsights/workspaces/law-contoso-soc,2d3c4b5a-aaaa-bbbb-cccc-dddddddddddd,Azure
2026-06-10T07:00:00Z,2026-06-10T07:00:00Z,2026-06-10T08:00:00Z,AzureActivity,LogManagement,44.2,MBytes,true,,/subscriptions/11112222-3333-4444-5555-666677778888/resourceGroups/rg-finance-prod/providers/Microsoft.OperationalInsights/workspaces/law-contoso-soc,5e4d3c2b-eeee-ffff-0000-111111111111,Azure
2026-06-10T08:00:00Z,2026-06-10T08:00:00Z,2026-06-10T09:00:00Z,AzureActivity,LogManagement,51.6,MBytes,true,,/subscriptions/11112222-3333-4444-5555-666677778888/resourceGroups/rg-finance-prod/providers/Microsoft.OperationalInsights/workspaces/law-contoso-soc,5e4d3c2b-eeee-ffff-0000-111111111111,Azure
2026-06-10T09:00:00Z,2026-06-10T09:00:00Z,2026-06-10T10:00:00Z,AzureActivity,LogManagement,67.3,MBytes,true,,/subscriptions/11112222-3333-4444-5555-666677778888/resourceGroups/rg-finance-prod/providers/Microsoft.OperationalInsights/workspaces/law-contoso-soc,5e4d3c2b-eeee-ffff-0000-111111111111,Azure
2026-06-10T10:00:00Z,2026-06-10T10:00:00Z,2026-06-10T11:00:00Z,AzureActivity,LogManagement,318.9,MBytes,true,,/subscriptions/11112222-3333-4444-5555-666677778888/resourceGroups/rg-finance-prod/providers/Microsoft.OperationalInsights/workspaces/law-contoso-soc,5e4d3c2b-eeee-ffff-0000-111111111111,Azure
2026-06-10T11:00:00Z,2026-06-10T11:00:00Z,2026-06-10T12:00:00Z,AzureActivity,LogManagement,142.5,MBytes,true,,/subscriptions/11112222-3333-4444-5555-666677778888/resourceGroups/rg-finance-prod/providers/Microsoft.OperationalInsights/workspaces/law-contoso-soc,5e4d3c2b-eeee-ffff-0000-111111111111,Azure
2026-06-10T07:00:00Z,2026-06-10T07:00:00Z,2026-06-10T08:00:00Z,Syslog,Security,98.7,MBytes,true,,/subscriptions/11112222-3333-4444-5555-666677778888/resourceGroups/rg-finance-prod/providers/Microsoft.OperationalInsights/workspaces/law-contoso-soc,8a7b6c5d-2222-3333-4444-555555555555,Azure
2026-06-10T08:00:00Z,2026-06-10T08:00:00Z,2026-06-10T09:00:00Z,Syslog,Security,389.2,MBytes,true,,/subscriptions/11112222-3333-4444-5555-666677778888/resourceGroups/rg-finance-prod/providers/Microsoft.OperationalInsights/workspaces/law-contoso-soc,8a7b6c5d-2222-3333-4444-555555555555,Azure
2026-06-10T09:00:00Z,2026-06-10T09:00:00Z,2026-06-10T10:00:00Z,Syslog,Security,256.4,MBytes,true,,/subscriptions/11112222-3333-4444-5555-666677778888/resourceGroups/rg-finance-prod/providers/Microsoft.OperationalInsights/workspaces/law-contoso-soc,8a7b6c5d-2222-3333-4444-555555555555,Azure
2026-06-10T10:00:00Z,2026-06-10T10:00:00Z,2026-06-10T11:00:00Z,Syslog,Security,71.9,MBytes,true,,/subscriptions/11112222-3333-4444-5555-666677778888/resourceGroups/rg-finance-prod/providers/Microsoft.OperationalInsights/workspaces/law-contoso-soc,8a7b6c5d-2222-3333-4444-555555555555,Azure
2026-06-10T11:00:00Z,2026-06-10T11:00:00Z,2026-06-10T12:00:00Z,Syslog,Security,0.0,MBytes,false,,/subscriptions/11112222-3333-4444-5555-666677778888/resourceGroups/rg-finance-prod/providers/Microsoft.OperationalInsights/workspaces/law-contoso-soc,8a7b6c5d-2222-3333-4444-555555555555,Azure
2026-06-10T07:00:00Z,2026-06-10T07:00:00Z,2026-06-10T08:00:00Z,AzureDiagnostics,LogManagement,1203.8,MBytes,true,,/subscriptions/11112222-3333-4444-5555-666677778888/resourceGroups/rg-finance-prod/providers/Microsoft.OperationalInsights/workspaces/law-contoso-soc,6c5d4e3f-3333-4444-5555-666666666666,Azure
2026-06-10T08:00:00Z,2026-06-10T08:00:00Z,2026-06-10T09:00:00Z,AzureDiagnostics,LogManagement,1188.5,MBytes,true,,/subscriptions/11112222-3333-4444-5555-666677778888/resourceGroups/rg-finance-prod/providers/Microsoft.OperationalInsights/workspaces/law-contoso-soc,6c5d4e3f-3333-4444-5555-666666666666,Azure
2026-06-10T09:00:00Z,2026-06-10T09:00:00Z,2026-06-10T10:00:00Z,Heartbeat,LogManagement,12.4,MBytes,false,,/subscriptions/11112222-3333-4444-5555-666677778888/resourceGroups/rg-finance-prod/providers/Microsoft.OperationalInsights/workspaces/law-contoso-soc,4b3a2c1d-9999-8888-7777-666666666666,Azure
2026-06-10T10:00:00Z,2026-06-10T10:00:00Z,2026-06-10T11:00:00Z,Heartbeat,LogManagement,12.1,MBytes,false,,/subscriptions/11112222-3333-4444-5555-666677778888/resourceGroups/rg-finance-prod/providers/Microsoft.OperationalInsights/workspaces/law-contoso-soc,4b3a2c1d-9999-8888-7777-666666666666,Azure
