
TimeGenerated,UserPrincipalName,AccountName,SourceIP,DestinationIP,SourcePort,DestinationPort,Protocol,Action,Computer,CorrelationId
2026-02-02 09:10:00,user2@contoso.com,user2,203.0.113.11,172.16.0.11,46782,22,TCP,Allow,HOST02,session_02
2026-02-02 09:12:00,user2@contoso.com,user2,203.0.113.11,172.16.0.12,15496,22,UDP,Allow,HOST02,session_02
2026-02-02 09:14:00,user2@contoso.com,user2,203.0.113.11,172.16.0.13,1147,22,UDP,Deny,HOST02,session_02
2026-02-02 09:16:00,user2@contoso.com,user2,203.0.113.11,172.16.0.14,63020,22,TCP,Allow,HOST02,session_02
2026-02-02 09:18:00,user2@contoso.com,user2,203.0.113.11,172.16.0.15,49104,443,UDP,Deny,HOST02,session_02
2026-02-02 09:20:00,user2@contoso.com,user2,203.0.113.11,172.16.0.16,18652,22,UDP,Allow,HOST02,session_02
2026-02-02 09:22:00,user2@contoso.com,user2,203.0.113.11,172.16.0.17,38657,80,TCP,Deny,HOST02,session_02
2026-02-02 09:24:00,user2@contoso.com,user2,203.0.113.11,172.16.0.18,6201,22,TCP,Allow,HOST02,session_02
2026-02-02 09:26:00,user2@contoso.com,user2,203.0.113.11,172.16.0.19,24640,443,TCP,Allow,HOST02,session_02
2026-02-02 09:28:00,user2@contoso.com,user2,203.0.113.11,172.16.0.20,25161,80,TCP,Deny,HOST02,session_02
2026-02-03 08:50:00,user3@contoso.com,user3,203.0.113.12,172.16.0.1,30675,3389,UDP,Allow,HOST03,session_03
2026-02-03 08:52:00,user3@contoso.com,user3,203.0.113.12,172.16.0.2,14360,443,TCP,Allow,HOST03,session_03
2026-02-03 08:54:00,user3@contoso.com,user3,203.0.113.12,172.16.0.3,23187,445,TCP,Deny,HOST03,session_03
2026-02-03 08:56:00,user3@contoso.com,user3,203.0.113.12,172.16.0.4,21528,22,TCP,Deny,HOST03,session_03
2026-02-03 08:58:00,user3@contoso.com,user3,203.0.113.12,172.16.0.5,20499,22,UDP,Allow,HOST03,session_03
2026-02-03 09:00:00,user3@contoso.com,user3,203.0.113.12,172.16.0.6,57638,80,UDP,Deny,HOST03,session_03
2026-02-03 09:02:00,user3@contoso.com,user3,203.0.113.12,172.16.0.7,30082,22,TCP,Deny,HOST03,session_03
2026-02-03 09:04:00,user3@contoso.com,user3,203.0.113.12,172.16.0.8,6016,80,TCP,Allow,HOST03,session_03
2026-02-03 09:06:00,user3@contoso.com,user3,203.0.113.12,172.16.0.9,42763,443,TCP,Allow,HOST03,session_03
2026-02-03 09:08:00,user3@contoso.com,user3,203.0.113.12,172.16.0.10,11588,3389,UDP,Allow,HOST03,session_03
2026-02-03 09:10:00,user3@contoso.com,user3,203.0.113.12,172.16.0.11,21542,80,TCP,Deny,HOST03,session_03
2026-02-03 09:12:00,user3@contoso.com,user3,203.0.113.12,172.16.0.12,44013,80,UDP,Allow,HOST03,session_03
2026-02-03 09:14:00,user3@contoso.com,user3,203.0.113.12,172.16.0.13,32127,80,TCP,Deny,HOST03,session_03
2026-02-03 09:16:00,user3@contoso.com,user3,203.0.113.12,172.16.0.14,44731,445,TCP,Deny,HOST03,session_03
2026-02-03 09:18:00,user3@contoso.com,user3,203.0.113.12,172.16.0.15,20102,80,UDP,Deny,HOST03,session_03
2026-02-03 09:20:00,user3@contoso.com,user3,203.0.113.12,172.16.0.16,27711,445,TCP,Deny,HOST03,session_03
2026-02-03 09:22:00,user3@contoso.com,user3,203.0.113.12,172.16.0.17,26498,443,TCP,Deny,HOST03,session_03
2026-02-03 09:24:00,user3@contoso.com,user3,203.0.113.12,172.16.0.18,58087,445,TCP,Allow,HOST03,session_03
2026-02-03 09:26:00,user3@contoso.com,user3,203.0.113.12,172.16.0.19,43305,80,TCP,Deny,HOST03,session_03
2026-02-03 09:28:00,user3@contoso.com,user3,203.0.113.12,172.16.0.20,36675,443,TCP,Allow,HOST03,session_03
2026-02-04 08:50:00,user4@contoso.com,user4,203.0.113.13,172.16.0.1,62045,80,UDP,Deny,HOST04,session_04
2026-02-04 08:52:00,user4@contoso.com,user4,203.0.113.13,172.16.0.2,4485,80,TCP,Allow,HOST04,session_04
2026-02-04 08:54:00,user4@contoso.com,user4,203.0.113.13,172.16.0.3,5208,443,TCP,Deny,HOST04,session_04
2026-02-04 08:56:00,user4@contoso.com,user4,203.0.113.13,172.16.0.4,56042,80,TCP,Allow,HOST04,session_04
2026-02-04 08:58:00,user4@contoso.com,user4,203.0.113.13,172.16.0.5,15156,80,TCP,Deny,HOST04,session_04
2026-02-04 09:00:00,user4@contoso.com,user4,203.0.113.13,172.16.0.6,61083,22,UDP,Deny,HOST04,session_04
2026-02-04 09:02:00,user4@contoso.com,user4,203.0.113.13,172.16.0.7,2361,445,TCP,Allow,HOST04,session_04
2026-02-04 09:04:00,user4@contoso.com,user4,203.0.113.13,172.16.0.8,36789,80,TCP,Deny,HOST04,session_04
2026-02-04 09:06:00,user4@contoso.com,user4,203.0.113.13,172.16.0.9,63708,443,TCP,Deny,HOST04,session_04
2026-02-04 09:08:00,user4@contoso.com,user4,203.0.113.13,172.16.0.10,40927,22,UDP,Deny,HOST04,session_04
2026-02-04 09:10:00,user4@contoso.com,user4,203.0.113.13,172.16.0.11,15183,80,TCP,Allow,HOST04,session_04
2026-02-04 09:12:00,user4@contoso.com,user4,203.0.113.13,172.16.0.12,46097,445,UDP,Deny,HOST04,session_04
2026-02-04 09:14:00,user4@contoso.com,user4,203.0.113.13,172.16.0.13,20460,80,TCP,Allow,HOST04,session_04
2026-02-04 09:16:00,user4@contoso.com,user4,203.0.113.13,172.16.0.14,46226,445,UDP,Deny,HOST04,session_04
2026-02-04 09:18:00,user4@contoso.com,user4,203.0.113.13,172.16.0.15,10016,3389,UDP,Deny,HOST04,session_04
2026-02-04 09:20:00,user4@contoso.com,user4,203.0.113.13,172.16.0.16,35178,3389,UDP,Deny,HOST04,session_04
2026-02-04 09:22:00,user4@contoso.com,user4,203.0.113.13,172.16.0.17,5780,80,UDP,Allow,HOST04,session_04
2026-02-04 09:24:00,user4@contoso.com,user4,203.0.113.13,172.16.0.18,62848,443,UDP,Deny,HOST04,session_04
2026-02-04 09:26:00,user4@contoso.com,user4,203.0.113.13,172.16.0.19,30453,443,TCP,Allow,HOST04,session_04
2026-02-04 09:28:00,user4@contoso.com,user4,203.0.113.13,172.16.0.20,58804,443,TCP,Allow,HOST04,session_04
2026-02-05 08:50:00,user5@contoso.com,user5,203.0.113.14,172.16.0.1,6403,80,UDP,Allow,HOST05,session_05
2026-02-05 08:52:00,user5@contoso.com,user5,203.0.113.14,172.16.0.2,41801,445,TCP,Allow,HOST05,session_05
2026-02-05 08:54:00,user5@contoso.com,user5,203.0.113.14,172.16.0.3,28947,445,TCP,Allow,HOST05,session_05
2026-02-05 08:56:00,user5@contoso.com,user5,203.0.113.14,172.16.0.4,12897,22,TCP,Allow,HOST05,session_05
2026-02-05 08:58:00,user5@contoso.com,user5,203.0.113.14,172.16.0.5,32028,80,TCP,Allow,HOST05,session_05
2026-02-05 09:00:00,user5@contoso.com,user5,203.0.113.14,172.16.0.6,39218,445,UDP,Allow,HOST05,session_05
2026-02-05 09:02:00,user5@contoso.com,user5,203.0.113.14,172.16.0.7,1630,80,UDP,Deny,HOST05,session_05
2026-02-05 09:04:00,user5@contoso.com,user5,203.0.113.14,172.16.0.8,33986,3389,UDP,Deny,HOST05,session_05
2026-02-05 09:06:00,user5@contoso.com,user5,203.0.113.14,172.16.0.9,29188,22,UDP,Deny,HOST05,session_05
2026-02-05 09:08:00,user5@contoso.com,user5,203.0.113.14,172.16.0.10,22696,443,UDP,Allow,HOST05,session_05
2026-02-05 09:10:00,user5@contoso.com,user5,203.0.113.14,172.16.0.11,20586,445,TCP,Deny,HOST05,session_05
2026-02-05 09:12:00,user5@contoso.com,user5,203.0.113.14,172.16.0.12,24383,443,TCP,Deny,HOST05,session_05
2026-02-05 09:14:00,user5@contoso.com,user5,203.0.113.14,172.16.0.13,20876,443,UDP,Allow,HOST05,session_05
2026-02-05 09:16:00,user5@contoso.com,user5,203.0.113.14,172.16.0.14,64474,445,TCP,Deny,HOST05,session_05
2026-02-05 09:18:00,user5@contoso.com,user5,203.0.113.14,172.16.0.15,54533,22,TCP,Allow,HOST05,session_05
2026-02-05 09:20:00,user5@contoso.com,user5,203.0.113.14,172.16.0.16,42375,445,TCP,Deny,HOST05,session_05
2026-02-05 09:22:00,user5@contoso.com,user5,203.0.113.14,172.16.0.17,38140,80,TCP,Allow,HOST05,session_05
2026-02-05 09:24:00,user5@contoso.com,user5,203.0.113.14,172.16.0.18,55911,443,TCP,Deny,HOST05,session_05
2026-02-05 09:26:00,user5@contoso.com,user5,203.0.113.14,172.16.0.19,36484,443,UDP,Allow,HOST05,session_05
2026-02-05 09:28:00,user5@contoso.com,user5,203.0.113.14,172.16.0.20,25794,80,UDP,Deny,HOST05,session_05
2026-02-06 08:50:00,user6@contoso.com,user6,203.0.113.15,172.16.0.1,26132,80,UDP,Deny,HOST06,session_06
2026-02-06 08:52:00,user6@contoso.com,user6,203.0.113.15,172.16.0.2,26568,3389,UDP,Deny,HOST06,session_06
2026-02-06 08:54:00,user6@contoso.com,user6,203.0.113.15,172.16.0.3,37162,22,TCP,Allow,HOST06,session_06
2026-02-06 08:56:00,user6@contoso.com,user6,203.0.113.15,172.16.0.4,6754,443,TCP,Allow,HOST06,session_06
2026-02-06 08:58:00,user6@contoso.com,user6,203.0.113.15,172.16.0.5,4933,22,TCP,Deny,HOST06,session_06
2026-02-06 09:00:00,user6@contoso.com,user6,203.0.113.15,172.16.0.6,1834,445,TCP,Deny,HOST06,session_06
2026-02-06 09:02:00,user6@contoso.com,user6,203.0.113.15,172.16.0.7,61515,22,TCP,Allow,HOST06,session_06
2026-02-06 09:04:00,user6@contoso.com,user6,203.0.113.15,172.16.0.8,16555,22,UDP,Allow,HOST06,session_06
2026-02-06 09:06:00,user6@contoso.com,user6,203.0.113.15,172.16.0.9,17164,445,UDP,Allow,HOST06,session_06
2026-02-06 09:08:00,user6@contoso.com,user6,203.0.113.15,172.16.0.10,19569,22,UDP,Deny,HOST06,session_06
2026-02-06 09:10:00,user6@contoso.com,user6,203.0.113.15,172.16.0.11,54611,443,TCP,Allow,HOST06,session_06
2026-02-06 09:12:00,user6@contoso.com,user6,203.0.113.15,172.16.0.12,55229,80,UDP,Deny,HOST06,session_06
2026-02-06 09:14:00,user6@contoso.com,user6,203.0.113.15,172.16.0.13,45215,445,UDP,Allow,HOST06,session_06
2026-02-06 09:16:00,user6@contoso.com,user6,203.0.113.15,172.16.0.14,38119,3389,UDP,Allow,HOST06,session_06
2026-02-06 09:18:00,user6@contoso.com,user6,203.0.113.15,172.16.0.15,52323,443,TCP,Allow,HOST06,session_06
2026-02-06 09:20:00,user6@contoso.com,user6,203.0.113.15,172.16.0.16,25031,443,TCP,Deny,HOST06,session_06
2026-02-06 09:22:00,user6@contoso.com,user6,203.0.113.15,172.16.0.17,47854,443,TCP,Allow,HOST06,session_06
2026-02-06 09:24:00,user6@contoso.com,user6,203.0.113.15,172.16.0.18,9144,22,UDP,Deny,HOST06,session_06
2026-02-06 09:26:00,user6@contoso.com,user6,203.0.113.15,172.16.0.19,23560,80,TCP,Deny,HOST06,session_06
2026-02-06 09:28:00,user6@contoso.com,user6,203.0.113.15,172.16.0.20,36748,80,TCP,Deny,HOST06,session_06
2026-02-07 08:50:00,user7@contoso.com,user7,203.0.113.16,172.16.0.1,12569,22,UDP,Allow,HOST07,session_07
2026-02-07 08:52:00,user7@contoso.com,user7,203.0.113.16,172.16.0.2,63810,80,UDP,Deny,HOST07,session_07
2026-02-07 08:54:00,user7@contoso.com,user7,203.0.113.16,172.16.0.3,27966,3389,UDP,Deny,HOST07,session_07
2026-02-07 08:56:00,user7@contoso.com,user7,203.0.113.16,172.16.0.4,31257,22,TCP,Deny,HOST07,session_07
2026-02-07 08:58:00,user7@contoso.com,user7,203.0.113.16,172.16.0.5,48503,80,TCP,Deny,HOST07,session_07
2026-02-07 09:00:00,user7@contoso.com,user7,203.0.113.16,172.16.0.6,42949,443,UDP,Allow,HOST07,session_07
2026-02-07 09:02:00,user7@contoso.com,user7,203.0.113.16,172.16.0.7,26001,22,TCP,Deny,HOST07,session_07
2026-02-07 09:04:00,user7@contoso.com,user7,203.0.113.16,172.16.0.8,48396,443,UDP,Allow,HOST07,session_07
2026-02-07 09:06:00,user7@contoso.com,user7,203.0.113.16,172.16.0.9,34147,445,UDP,Deny,HOST07,session_07
2026-02-07 09:08:00,user7@contoso.com,user7,203.0.113.16,172.16.0.10,55129,443,UDP,Deny,HOST07,session_07
2026-02-07 09:10:00,user7@contoso.com,user7,203.0.113.16,172.16.0.11,17962,80,UDP,Allow,HOST07,session_07
2026-02-07 09:12:00,user7@contoso.com,user7,203.0.113.16,172.16.0.12,61410,443,TCP,Allow,HOST07,session_07
2026-02-07 09:14:00,user7@contoso.com,user7,203.0.113.16,172.16.0.13,59044,443,UDP,Allow,HOST07,session_07
2026-02-07 09:16:00,user7@contoso.com,user7,203.0.113.16,172.16.0.14,53393,445,UDP,Deny,HOST07,session_07
2026-02-07 09:18:00,user7@contoso.com,user7,203.0.113.16,172.16.0.15,36294,22,UDP,Deny,HOST07,session_07
2026-02-07 09:20:00,user7@contoso.com,user7,203.0.113.16,172.16.0.16,55270,3389,UDP,Allow,HOST07,session_07
2026-02-07 09:22:00,user7@contoso.com,user7,203.0.113.16,172.16.0.17,49816,3389,UDP,Deny,HOST07,session_07
2026-02-07 09:24:00,user7@contoso.com,user7,203.0.113.16,172.16.0.18,28778,445,UDP,Deny,HOST07,session_07
2026-02-07 09:26:00,user7@contoso.com,user7,203.0.113.16,172.16.0.19,41208,445,TCP,Allow,HOST07,session_07
2026-02-07 09:28:00,user7@contoso.com,user7,203.0.113.16,172.16.0.20,1924,443,UDP,Allow,HOST07,session_07
2026-02-08 08:50:00,user8@contoso.com,user8,203.0.113.17,172.16.0.1,61271,22,UDP,Allow,HOST08,session_08
2026-02-08 08:52:00,user8@contoso.com,user8,203.0.113.17,172.16.0.2,47728,3389,TCP,Deny,HOST08,session_08
2026-02-08 08:54:00,user8@contoso.com,user8,203.0.113.17,172.16.0.3,28577,3389,UDP,Deny,HOST08,session_08
2026-02-08 08:56:00,user8@contoso.com,user8,203.0.113.17,172.16.0.4,6730,443,UDP,Deny,HOST08,session_08
2026-02-08 08:58:00,user8@contoso.com,user8,203.0.113.17,172.16.0.5,26002,80,UDP,Allow,HOST08,session_08
2026-02-08 09:00:00,user8@contoso.com,user8,203.0.113.17,172.16.0.6,63278,80,UDP,Deny,HOST08,session_08
2026-02-08 09:02:00,user8@contoso.com,user8,203.0.113.17,172.16.0.7,62882,80,TCP,Allow,HOST08,session_08
2026-02-08 09:04:00,user8@contoso.com,user8,203.0.113.17,172.16.0.8,51444,445,UDP,Deny,HOST08,session_08
2026-02-08 09:06:00,user8@contoso.com,user8,203.0.113.17,172.16.0.9,21216,22,TCP,Deny,HOST08,session_08
2026-02-08 09:08:00,user8@contoso.com,user8,203.0.113.17,172.16.0.10,37503,80,TCP,Allow,HOST08,session_08
2026-02-08 09:10:00,user8@contoso.com,user8,203.0.113.17,172.16.0.11,65435,3389,UDP,Allow,HOST08,session_08
2026-02-08 09:12:00,user8@contoso.com,user8,203.0.113.17,172.16.0.12,7171,80,TCP,Deny,HOST08,session_08
2026-02-08 09:14:00,user8@contoso.com,user8,203.0.113.17,172.16.0.13,49506,80,UDP,Deny,HOST08,session_08
2026-02-08 09:16:00,user8@contoso.com,user8,203.0.113.17,172.16.0.14,9912,445,TCP,Allow,HOST08,session_08
2026-02-08 09:18:00,user8@contoso.com,user8,203.0.113.17,172.16.0.15,8521,443,TCP,Deny,HOST08,session_08
2026-02-08 09:20:00,user8@contoso.com,user8,203.0.113.17,172.16.0.16,26833,445,UDP,Deny,HOST08,session_08
2026-02-08 09:22:00,user8@contoso.com,user8,203.0.113.17,172.16.0.17,52123,22,TCP,Allow,HOST08,session_08
2026-02-08 09:24:00,user8@contoso.com,user8,203.0.113.17,172.16.0.18,29074,3389,TCP,Allow,HOST08,session_08
2026-02-08 09:26:00,user8@contoso.com,user8,203.0.113.17,172.16.0.19,57510,22,UDP,Allow,HOST08,session_08
2026-02-08 09:28:00,user8@contoso.com,user8,203.0.113.17,172.16.0.20,59313,3389,TCP,Deny,HOST08,session_08
2026-02-09 08:50:00,user9@contoso.com,user9,203.0.113.18,172.16.0.1,7291,443,TCP,Allow,HOST09,session_09
2026-02-09 08:52:00,user9@contoso.com,user9,203.0.113.18,172.16.0.2,36772,443,UDP,Deny,HOST09,session_09
2026-02-09 08:54:00,user9@contoso.com,user9,203.0.113.18,172.16.0.3,60782,22,TCP,Allow,HOST09,session_09
2026-02-09 08:56:00,user9@contoso.com,user9,203.0.113.18,172.16.0.4,21703,22,TCP,Allow,HOST09,session_09
2026-02-09 08:58:00,user9@contoso.com,user9,203.0.113.18,172.16.0.5,55057,3389,UDP,Deny,HOST09,session_09
2026-02-09 09:00:00,user9@contoso.com,user9,203.0.113.18,172.16.0.6,2008,22,TCP,Allow,HOST09,session_09
2026-02-09 09:02:00,user9@contoso.com,user9,203.0.113.18,172.16.0.7,12563,22,TCP,Allow,HOST09,session_09
2026-02-09 09:04:00,user9@contoso.com,user9,203.0.113.18,172.16.0.8,10614,80,UDP,Allow,HOST09,session_09
2026-02-09 09:06:00,user9@contoso.com,user9,203.0.113.18,172.16.0.9,38318,443,TCP,Deny,HOST09,session_09
2026-02-09 09:08:00,user9@contoso.com,user9,203.0.113.18,172.16.0.10,32290,80,TCP,Allow,HOST09,session_09
2026-02-09 09:10:00,user9@contoso.com,user9,203.0.113.18,172.16.0.11,35463,445,TCP,Deny,HOST09,session_09
2026-02-09 09:12:00,user9@contoso.com,user9,203.0.113.18,172.16.0.12,20393,22,UDP,Allow,HOST09,session_09
2026-02-09 09:14:00,user9@contoso.com,user9,203.0.113.18,172.16.0.13,3535,443,TCP,Deny,HOST09,session_09
2026-02-09 09:16:00,user9@contoso.com,user9,203.0.113.18,172.16.0.14,5142,3389,TCP,Deny,HOST09,session_09
2026-02-09 09:18:00,user9@contoso.com,user9,203.0.113.18,172.16.0.15,20806,443,UDP,Deny,HOST09,session_09
2026-02-09 09:20:00,user9@contoso.com,user9,203.0.113.18,172.16.0.16,31599,445,UDP,Deny,HOST09,session_09
2026-02-09 09:22:00,user9@contoso.com,user9,203.0.113.18,172.16.0.17,39748,80,UDP,Deny,HOST09,session_09
2026-02-09 09:24:00,user9@contoso.com,user9,203.0.113.18,172.16.0.18,35554,80,TCP,Allow,HOST09,session_09
2026-02-09 09:26:00,user9@contoso.com,user9,203.0.113.18,172.16.0.19,18263,443,TCP,Allow,HOST09,session_09
2026-02-09 09:28:00,user9@contoso.com,user9,203.0.113.18,172.16.0.20,34784,80,TCP,Deny,HOST09,session_09
2026-02-10 08:50:00,user10@contoso.com,user10,203.0.113.19,172.16.0.1,23174,443,UDP,Deny,HOST10,session_10
2026-02-10 08:52:00,user10@contoso.com,user10,203.0.113.19,172.16.0.2,27963,445,TCP,Allow,HOST10,session_10
2026-02-10 08:54:00,user10@contoso.com,user10,203.0.113.19,172.16.0.3,53352,22,TCP,Deny,HOST10,session_10
2026-02-10 08:56:00,user10@contoso.com,user10,203.0.113.19,172.16.0.4,34011,445,UDP,Deny,HOST10,session_10
2026-02-10 08:58:00,user10@contoso.com,user10,203.0.113.19,172.16.0.5,28741,22,UDP,Allow,HOST10,session_10
2026-02-10 09:00:00,user10@contoso.com,user10,203.0.113.19,172.16.0.6,57899,443,UDP,Deny,HOST10,session_10
2026-02-10 09:02:00,user10@contoso.com,user10,203.0.113.19,172.16.0.7,63011,22,UDP,Allow,HOST10,session_10
2026-02-10 09:04:00,user10@contoso.com,user10,203.0.113.19,172.16.0.8,26222,3389,UDP,Deny,HOST10,session_10
2026-02-10 09:06:00,user10@contoso.com,user10,203.0.113.19,172.16.0.9,37327,445,UDP,Deny,HOST10,session_10
2026-02-10 09:08:00,user10@contoso.com,user10,203.0.113.19,172.16.0.10,63141,80,UDP,Deny,HOST10,session_10
2026-02-10 09:10:00,user10@contoso.com,user10,203.0.113.19,172.16.0.11,62822,80,TCP,Allow,HOST10,session_10
2026-02-10 09:12:00,user10@contoso.com,user10,203.0.113.19,172.16.0.12,49769,443,UDP,Allow,HOST10,session_10
2026-02-10 09:14:00,user10@contoso.com,user10,203.0.113.19,172.16.0.13,2111,3389,UDP,Allow,HOST10,session_10
2026-02-10 09:16:00,user10@contoso.com,user10,203.0.113.19,172.16.0.14,43249,80,UDP,Deny,HOST10,session_10
2026-02-10 09:18:00,user10@contoso.com,user10,203.0.113.19,172.16.0.15,31963,80,TCP,Allow,HOST10,session_10
2026-02-10 09:20:00,user10@contoso.com,user10,203.0.113.19,172.16.0.16,60864,80,UDP,Deny,HOST10,session_10
2026-02-10 09:22:00,user10@contoso.com,user10,203.0.113.19,172.16.0.17,8817,3389,UDP,Deny,HOST10,session_10
2026-02-10 09:24:00,user10@contoso.com,user10,203.0.113.19,172.16.0.18,26800,3389,TCP,Allow,HOST10,session_10
2026-02-10 09:26:00,user10@contoso.com,user10,203.0.113.19,172.16.0.19,24921,443,UDP,Allow,HOST10,session_10
2026-02-10 09:28:00,user10@contoso.com,user10,203.0.113.19,172.16.0.20,11561,80,UDP,Deny,HOST10,session_10
